Ticker,Adj Close,Close,High,Low,Open,Volume
A,111.52999877929688,111.52999877929688,112.58999633789062,110.69999694824219,110.66999816894531,454179
AAPL,250.21499633789062,250.21499633789062,251.8300018310547,247.3000030517578,249.39999389648438,9727738
ABBV,207.3699951171875,207.3699951171875,210.4250030517578,206.66000366210938,208.36500549316406,1307151
ABNB,130.24000549316406,130.24000549316406,131.3699951171875,129.25,129.9499969482422,815010
ABT,108.91000366210938,108.91000366210938,109.7490005493164,108.5,108.7300033569336,1752211
ACGL,92.05999755859375,92.05999755859375,93.47499847,91.5,93.33000183105469,366376
ACN,205.23500061035156,205.23500061035156,205.6199951171875,187,187,3870527
ADBE,247.57000732421875,247.57000732421875,250.39999389648438,245.1199951171875,246.41000366210938,1492018
ADI,306.69500732421875,306.69500732421875,309.4226074,300.9100036621094,303.3699951171875,728181
ADM,69.05999755859375,69.05999755859375,70.62000274658203,68.13339996,70.41999816894531,1609804
ADP,210.9600067138672,210.9600067138672,214.3000030517578,209.6199951171875,210.74000549316406,796455
ADSK,250.49000549316406,250.49000549316406,255.33999633789062,248.39500427246094,248.97999572753906,313076
AEE,110.36000061035156,110.36000061035156,111.08999633789062,110,110.05000305175781,185527
AEP,130.60499572753906,130.60499572753906,131.4499969482422,130.3000030517578,131.0500030517578,606235
AES,14.169899940490723,14.169899940490723,14.180000305175781,14.149999618530273,14.170000076293945,3395720
AFL,107.67500305175781,107.67500305175781,108.66000366210938,106.82499694824219,107.94999694824219,330219
AIG,73.66999816894531,73.66999816894531,74.70500183105469,73.09999847,74.58999633789062,1705123
AIZ,213.4499969482422,213.4499969482422,214.6300048828125,211.75,212.1300048828125,37010
AJG,209.6501007080078,209.6501007080078,212.81500244140625,208.7050018310547,210.1300048828125,367904
AKAM,107.69750213623047,107.69750213623047,109.7854995727539,106.06999969482422,108.77999877929688,1256002
ALB,159.86000061035156,159.86000061035156,161.86000061035156,155.0800018310547,158.57000732421875,580384
ALGN,178.84500122070312,178.84500122070312,180.6199951171875,175.53750610351562,180,803685
ALL,204.6699981689453,204.6699981689453,207.2899932861328,203.25,206.57000732421875,242317
ALLE,142.4499969482422,142.4499969482422,144.25999450683594,142.22000122070312,143.7100067138672,159283
AMAT,356.43499755859375,356.43499755859375,356.7799987792969,338.0899963378906,340.7399902,1538459
AMCR,38.470001220703125,38.470001220703125,39.415000915527344,38.38499832,39.349998474121094,1374190
AMD,200.10000610351562,200.10000610351562,200.10000610351562,192.8300018310547,195.03199768066406,10477218
AME,211.26499938964844,211.26499938964844,212.61000061035156,209.3249969482422,210.6199951171875,278395
AMGN,352.7049865722656,352.7049865722656,356.32000732421875,350.2200012207031,352.9899902,453138
AMP,433.9049987792969,433.9049987792969,436.6400146484375,430,430.80999755859375,107737
AMT,179.71499633789062,179.71499633789062,181.0500030517578,178.80499267578125,180.2899932861328,497189
AMZN,208.4499969482422,208.4499969482422,209.05999755859375,206.05999755859375,207.05999755859375,10765419
ANET,135.4499969482422,135.4499969482422,135.92999267578125,132.35000610351562,133.74000549316406,954062
AON,317.9700012207031,317.9700012207031,320.79998779296875,316.54998779296875,320,166872
AOS,63.58800125,63.58800125,64.16000366210938,63.279998779296875,63.56999969482422,270138
APA,38.650001525878906,38.650001525878906,39.029998779296875,36.92499923706055,37,3883390
APD,282.8999938964844,282.8999938964844,283.55999755859375,279,279.6600036621094,369865
APH,128.84500122070312,128.84500122070312,130.0399932861328,125.4000015258789,125.83000183105469,1722493
APO,110.63999938964844,110.63999938964844,110.77999877929688,108.80000305175781,110.25,1342855
APP,439.5799865722656,439.5799865722656,439.8699951171875,416,428.32501220703125,1984213
APTV,69.13999938964844,69.13999938964844,69.55999755859375,68.30000305175781,69.02999877929688,549888
ARE,48.220001220703125,48.220001220703125,48.54499816894531,47.97629928588867,48.16999816894531,180770
ARES,107.1050033569336,107.1050033569336,107.3949966430664,103.50260162353516,104.2300033569336,785775
ATO,185.48500061035156,185.48500061035156,186.2050018310547,183.47999572753906,185.1300048828125,95542
AVB,166.89999389648438,166.89999389648438,166.89999389648438,165.41000366210938,165.41000366210938,120860
AVGO,316.82000732421875,316.82000732421875,316.9700012207031,308.5100098,312.7399902,5895784
AVY,162.00999450683594,162.00999450683594,164.9250030517578,161.85000610351562,163.77999877929688,121435
AWK,136.4600067138672,136.4600067138672,137.3699951171875,134.60000610351562,135.88999938964844,334192
AXON,496.57000732421875,496.57000732421875,505.7900085449219,491.0100098,504.1129150390625,126809
AXP,294.9599914550781,294.9599914550781,296.6400146484375,291.28009033203125,292.2799987792969,896500
AZO,3328.024902,3328.024902,3391.489990234375,3311.351806640625,3350.5,24400
BA,198.72500610351562,198.72500610351562,202.66000366210938,197.4600067138672,203.0500030517578,3721645
BAC,46.654998779296875,46.654998779296875,46.86500168,46.11500168,46.41999816894531,12799403
BALL,59.064998626708984,59.064998626708984,59.72999954223633,58.810001373291016,59.63999938964844,314862
BAX,16.645000457763672,16.645000457763672,17.045000076293945,16.545000076293945,16.899999618530273,1670801
BBY,63.38999938964844,63.38999938964844,64.11000061035156,61.93000030517578,62.41999816894531,590110
BDX,157.8699951171875,157.8699951171875,159.1125030517578,156.99000549316406,157.50999450683594,397560
BEN,23.700000762939453,23.700000762939453,23.815000534057617,23.329999923706055,23.469999313354492,618508
BF.B,,,,,,
BG,123.58999633789062,123.58999633789062,124.48999786376953,121.20010375976562,123.30000305175781,368375
BIIB,183.02999877929688,183.02999877929688,184.80999755859375,182.17999267578125,182.17999267578125,138953
BK,114.12999725341797,114.12999725341797,114.54000091552734,112.93499755859375,113.66000366210938,585133
BKNG,4324.600098,4324.600098,4436.720215,4314.569824,4364.149902,55463
BKR,59.82249832,59.82249832,60.00999832,56.52000045776367,57.099998474121094,4286319
BLDR,83.51499938964844,83.51499938964844,85.54000091552734,83,85.19999694824219,451070
BLK,953.7401123046875,953.7401123046875,966.2800293,950.5549926757812,957.2000122070312,150962
BMY,58.53499984741211,58.53499984741211,59.625,58.470001220703125,59.209999084472656,1823760
BR,176.34500122070312,176.34500122070312,179.2949981689453,174.95249938964844,174.8800048828125,381791
BRK.B,,,,,,
BRO,66.89499664,66.89499664,67.70999908447266,66.48999786376953,67.56999969482422,590728
BSX,71.44999694824219,71.44999694824219,71.77999877929688,70.63999938964844,71.12999725341797,2701478
BX,111.44499969482422,111.44499969482422,112.69000244140625,110.59500122070312,111.94999694824219,1982287
BXP,52.650001525878906,52.650001525878906,52.93000030517578,52.380001068115234,52.560001373291016,201485
C,109.1449966430664,109.1449966430664,109.30999755859375,106.83000183105469,107.33000183105469,4691062
CAG,15.489999771118164,15.489999771118164,15.739999771118164,15.390000343322754,15.59000015258789,3577126
CAH,212.88999938964844,212.88999938964844,214.5,212.22000122070312,212.22999572753906,256043
CARR,56.79999923706055,56.79999923706055,57.439998626708984,56.58000183105469,56.90999984741211,926404
CAT,683.1799926757812,683.1799926757812,683.9099731445312,669,676.4899902,728062
CB,325.2900085449219,325.2900085449219,330.3800048828125,322.7300109863281,329.29998779296875,409358
CBOE,285.2600098,285.2600098,287.4700012207031,283.7760009765625,285.8399963378906,110427
CBRE,133.0850067138672,133.0850067138672,134.5249023,130.0959014892578,132.36000061035156,300637
CCI,84.55500030517578,84.55500030517578,85.25,84.33000183105469,84.87000274658203,272398
CCL,24.439300537109375,24.439300537109375,24.604999542236328,23.95599937438965,24.020000457763672,7679959
CDNS,287.5199890136719,287.5199890136719,292.6099853515625,284.7900085449219,289,353418
CDW,119.71499633789062,119.71499633789062,120.84500122070312,116.87889862060547,117.01000213623047,303244
CEG,311.1650085449219,311.1650085449219,316.6199951171875,306.70001220703125,313.94500732421875,595794
CF,128.88499450683594,128.88499450683594,131.49000549316406,126.55000305175781,128.6699981689453,2337029
CFG,56.68000030517578,56.68000030517578,56.775001525878906,55.75,56.209999084472656,935477
CHD,94.84500122070312,94.84500122070312,96.25,94.78849792480469,95.41000366210938,331511
CHRW,175.0800018310547,175.0800018310547,175.0800018310547,168.1230010986328,169.2899932861328,331794
CHTR,214.75999450683594,214.75999450683594,216.10499572753906,208.35000610351562,209.35000610351562,299621
CI,264.9599914550781,264.9599914550781,268.7049865722656,264.42999267578125,266.44000244140625,271898
CIEN,397.1951904296875,397.1951904296875,398.7699890136719,371,373.1199951171875,820320
CINF,158.50999450683594,158.50999450683594,160.9600067138672,157.77279663085938,160.4600067138672,69385
CL,86.05000305175781,86.05000305175781,87.73000336,86,87.37999725341797,1993076
CLX,106.1500015258789,106.1500015258789,107.44999694824219,105.86000061035156,107.22000122070312,491977
CMCSA,29.03499984741211,29.03499984741211,29.34000015258789,28.75,28.790000915527344,7054508
CME,309.3900146484375,309.3900146484375,313.19000244140625,307.7699890136719,310.94000244140625,467144
CMG,32.54999923706055,32.54999923706055,32.779998779296875,32.22999954223633,32.29999923706055,3183130
CMI,535.5499877929688,535.5499877929688,540.4299926757812,528.8745117,531.3099975585938,158615
CMS,77.43000030517578,77.43000030517578,77.75,77.28500366210938,77.44000244140625,378885
CNC,36.349998474121094,36.349998474121094,37.04999923706055,35.75,36.13999938964844,1041816
CNP,43.29999923706055,43.29999923706055,43.54999923706055,43,43.209999084472656,630631
COF,179.52499389648438,179.52499389648438,181.59500122070312,177.84500122070312,179.36000061035156,1109888
COIN,199.9499969482422,199.9499969482422,200.52499389648438,191.86549377441406,195.16200256347656,3630090
COO,70.89499664,70.89499664,71.26999664,70.05500030517578,70.51999664,174856
COP,125.41999816894531,125.41999816894531,126.3499984741211,123.96499633789062,124.70500183105469,3120912
COR,330.17999267578125,330.17999267578125,333.8999938964844,326,327.2300109863281,478525
COST,976.4400024414062,976.4400024414062,987.9099731445312,974.5532227,983.375,305436
CPAY,287.32501220703125,287.32501220703125,289.7799987792969,283,283,78759
CPB,21.05500030517578,21.05500030517578,21.344999313354492,20.92259979248047,21.094999313354492,2910172
CPRT,32.66999816894531,32.66999816894531,33.31999969482422,32.54499816894531,32.97999954223633,1648066
CPT,100.20999908447266,100.20999908447266,101.3499984741211,99.87999725341797,101.62999725341797,64966
CRH,100.11000061035156,100.11000061035156,100.67500305175781,99.02999877929688,99.02999877929688,1666770
CRL,155.28500366210938,155.28500366210938,158.84500122070312,154.2449951171875,156.0399932861328,80088
CRM,196.39999389648438,196.39999389648438,200.39500427246094,194.55999755859375,195.58999633789062,3486094
CRWD,434.92498779296875,434.92498779296875,440.7099914550781,428.92999267578125,438.3599853515625,641385
CSCO,78.30999755859375,78.30999755859375,78.64499664,76.91999816894531,77.55000305175781,4735697
CSGP,42.61000061035156,42.61000061035156,43.560001373291016,41.837501525878906,42.72999954223633,1142379
CSX,38.834999084472656,38.834999084472656,39.25,38.68000030517578,39.17499923706055,2993425
CTAS,184.34500122070312,184.34500122070312,186.53289794921875,184.11500549316406,185.38999938964844,367357
CTRA,34.369998931884766,34.369998931884766,34.584999084472656,33.790000915527344,33.970001220703125,3401469
CTSH,61.56999969482422,61.56999969482422,61.77000045776367,59.35499954223633,59.35499954223633,1081385
CTVA,78.30500030517578,78.30500030517578,79.51999664,77.06999969482422,79.30000305175781,1090327
CVNA,283,283,286,275.40008544921875,284.9100036621094,1113506
CVS,73.55999755859375,73.55999755859375,73.84999847,72.83000183105469,73.19999694824219,1327941
